game_id,stack,river_position,nb_players_start,cards,pot_size_before_decision,nb_unfolded_players,money_to_add_to_call,hand_strength,hand_pos_potential,hand_neg_potential,last_raise__turn_player,last_raise_riverplayer,flop,turn,river,mise en cas de raise/bet,decision
808421849,11.45,1,6,9s Kc,7.1,2,0.0,0.9535353535353536,0,0,0,-1,7c 6c Ad,9c,Qc,0.0,checks
808421849,11.45,1,6,9s Kc,10.8,2,3.7,0.9535353535353536,0,0,0,0,7c 6c Ad,9c,Qc,0.0,calls
808421094,11.35,1,6,2s 2h,8.05,2,0.0,0.9787878787878788,0,0,0,-1,Jh 2c Jd,7d,4d,0.0,checks
808417933,10.399999999999999,0,5,Js Kh,9.450000000000001,2,0.0,0.39595959595959596,0,0,1,-1,9c Tc 7c,8d,Jh,55.95,raises
808417441,8.5,0,6,Ad Kh,14.250000000000002,2,0.0,0.48535353535353537,0,0,1,-1,6c Qd 5h,Jh,6h,8.5,raises
808416687,12.5,0,6,8s 7c,8.0,2,3.0,0.7313131313131314,0,0,-1,1,9h 7h 9d,8c,4h,0.0,folds
808416662,4.0,0,6,Kd Qd,7.35,2,0.0,0.753030303030303,0,0,-1,-1,7c Ac 4c,Th,Qs,0.0,checks
808414726,9.110000000000001,1,6,Ts 6s,12.03,2,0.0,0.798989898989899,0,0,0,-1,4c 4h 8s,6h,Th,0.0,checks
808414726,9.110000000000001,1,6,Ts 6s,20.03,2,8.0,0.798989898989899,0,0,0,0,4c 4h 8s,6h,Th,0.0,calls
808414289,6.84,1,6,5c 5d,16.82,2,0.0,0.7853535353535354,0,0,-1,-1,Ah 6d As,Ad,4h,0.0,checks
808414289,6.84,1,6,5c 5d,26.82,2,10.0,0.7853535353535354,0,0,-1,0,Ah 6d As,Ad,4h,0.0,folds
808414226,10.18,1,6,Js Ks,11.89,2,0.0,0.7333333333333333,0,0,-1,-1,6d 6c Jc,Ah,9d,0.0,checks
808413768,27.0,1,5,6c 4c,6.0,2,0.0,0.016666666666666666,0,0,-1,-1,Jc 8s 3h,9h,2s,0.0,checks
808413605,2.99,0,5,7c 7s,9.120000000000001,2,0.0,1.0,0,0,0,-1,Js 7h 5s,3c,7d,8.4,raises
808413312,12.46,1,5,8h Kh,6.33,2,0.0,0.7383838383838384,0,0,0,-1,7s Kc 6s,Ah,5h,0.0,checks
808413312,12.46,1,5,8h Kh,9.33,2,3.0,0.7383838383838384,0,0,0,0,7s Kc 6s,Ah,5h,0.0,calls
808412485,6.37,0,6,Ah Jd,2.36,2,2.0,0.8353535353535354,0,0,-1,-1,6h 6s Js,5h,2h,2.0,bets
808412447,13.1,1,5,Ts Ad,4.05,2,0.0,0.451010101010101,0,0,-1,-1,7s 3s 7d,Js,8d,0.0,checks
808411261,1.62,0,6,Jc Ac,12.86,2,0.0,0.48535353535353537,0,0,1,-1,5c 9d Qd,6c,5h,0.0,checks
808410857,12.51,1,6,Th Tc,5.73,2,0.0,0.657070707070707,0,0,-1,-1,8d 5c 5s,Kh,Qs,0.0,checks
808410827,9.86,0,6,Qh Qd,11.030000000000001,2,0.0,0.6954545454545454,0,0,-1,-1,8h Ad 4h,2c,Kd,0.0,checks
808409708,-5.31,1,6,Kd Ah,40.870000000000005,2,0.0,0.32575757575757575,0,0,1,-1,Qc 4d Td,7c,8d,0.0,checks
808407514,13.75,1,5,Tc Ac,3.25,2,1.0,0.8727272727272727,0,0,-1,-1,4h Ks Ad,6h,8d,1.0,bets
808407007,4.780000000000001,0,6,Js Jd,135.64,2,84.7,0.9959595959595959,0,0,1,1,7c Jc 7s,As,8h,44.15,raises
808406875,1.5,1,4,Qh Ad,28.3,2,0.0,0.352020202020202,0,0,1,-1,8d Jh 4c,Tc,3d,0.0,checks
808406875,1.5,1,4,Qh Ad,41.74,2,13.44,0.352020202020202,0,0,1,0,8d Jh 4c,Tc,3d,0.0,folds
808406681,12.3,0,5,5h 7h,5.4,2,0.0,0.448989898989899,0,0,-1,-1,4d Jd 5s,2d,6s,0.0,checks
808406570,10.49,1,5,Ad Td,10.77,2,0.0,0.453030303030303,0,0,0,-1,Qh Jh 2d,8s,8c,0.0,checks
808405404,12.74,1,4,Ac Ts,4.52,2,0.0,0.8494949494949495,0,0,0,-1,4h 8h Js,Ah,Jc,0.0,checks
808405403,22.98,1,6,Jd As,14.54,2,0.0,0.8414141414141414,0,0,1,-1,9d 8c Jh,5s,4s,0.0,checks
808405403,22.98,1,6,Jd As,24.36,2,9.82,0.8414141414141414,0,0,1,0,9d 8c Jh,5s,4s,0.0,calls
808404158,14.0,1,5,5h Qh,2.25,2,0.0,0.33131313131313134,0,0,-1,-1,As Jc 7c,3c,3s,0.0,checks
808404158,14.0,1,5,5h Qh,4.25,2,2.0,0.33131313131313134,0,0,-1,0,As Jc 7c,3c,3s,0.0,folds
808404144,10.5,1,6,Jh Ac,9.5,2,3.0,0.9121212121212121,0,0,-1,-1,7h Qh 4h,5s,9h,3.0,bets
808403596,9.5,0,6,Jh Kc,13.5,2,24.0,0.998989898989899,0,0,-1,-1,5c Ks Kh,3s,Jd,24.0,bets
808402409,5.5,1,5,Tc Ah,6.6,3,0.0,0.8505050505050505,0,0,-1,-1,Qc 3s As,Kc,7c,0.0,checks
808400359,8.2,0,6,Kh Kd,22.049999999999997,2,8.2,0.9454545454545454,0,0,0,1,Kc Qc 2d,Ad,8d,0.0,calls
808399772,11.85,1,6,Tc Ks,9.700000000000001,3,0.0,0.7232323232323232,0,0,2,-1,Jh 4c Qd,Qh,Td,0.0,checks
808399513,6.4799999999999995,0,6,Ac 5s,5.9399999999999995,2,3.65,0.6257575757575757,0,0,-1,1,Qd Ks Qh,Tc,Td,0.0,folds
808399446,13.04,0,5,8d Ah,4.17,2,0.0,0.3277777777777778,0,0,-1,-1,4s 5h Qd,9s,2c,0.0,checks
808398926,9.57,0,2,Kh Tc,40.86,2,0.0,0.9868686868686869,0,0,0,-1,3d Ts 7c,2s,Kc,31.07,raises
808398168,2.55,0,6,8s 8c,9.9,2,0.0,0.7348484848484849,0,0,0,-1,Qs 5c 2d,6h,5h,0.0,checks
808397705,12.08,0,6,7h Kd,9.54,2,3.7,0.7191919191919192,0,0,-1,1,Ks Ts 6c,As,2d,0.0,folds
808396054,2.21,1,6,Ac Qc,25.83,2,0.0,0.18636363636363637,0,0,1,-1,6h 9c 8d,7c,4d,0.0,checks
808395801,12.5,0,5,9d Tc,8.5,2,3.5,0.6343434343434343,0,0,-1,1,Ah 9h Ks,3d,5h,0.0,folds
808394697,6.21,1,6,4s As,2.83,2,0.0,0.29343434343434344,0,0,0,-1,5h 3d 8c,9d,Qh,0.0,checks
808394697,6.21,1,6,4s As,5.83,2,3.0,0.29343434343434344,0,0,0,0,5h 3d 8c,9d,Qh,0.0,folds
808394441,27.0,1,6,Ac Ts,6.5,2,12.0,0.998989898989899,0,0,-1,-1,9d 6c 3c,7c,Qc,12.0,bets
808394276,-1.27,0,6,9d 9s,35.019999999999996,2,17.13,0.8196969696969697,0,0,1,1,Kh 3d 5d,Kc,6d,0.0,folds
808393659,6.3,1,5,8s 4s,2.5,2,1.75,0.9494949494949495,0,0,-1,-1,2d 2s Ks,5c,Qs,1.75,bets
808392891,12.46,2,6,7c Td,7.87,3,0.0,0.7121212121212122,0,0,-1,-1,8c As Th,5d,9s,0.0,checks
808392891,12.46,2,6,7c Td,10.36,3,2.49,0.7121212121212122,0,0,-1,0,8c As Th,5d,9s,14.5,raises
808392686,13.37,1,5,Js 2s,3.26,2,0.0,0.25707070707070706,0,0,1,-1,3d Ts 9h,Kc,9d,0.0,checks
808392686,13.37,1,5,Js 2s,6.26,2,3.0,0.25707070707070706,0,0,1,0,3d Ts 9h,Kc,9d,0.0,folds
808391382,4.9399999999999995,1,6,Qc Qd,25.68,2,7.0,0.9368686868686869,0,0,1,-1,6d 6c Td,7h,6s,7.0,bets
