game_id,stack,turn_position,nb_players_start,cards,pot_size_before_decision,nb_unfolded_players,money_to_add_for_call,hand_strength,hand_pos_potential,hand_neg_potential,last_raise__flop_player,last_raise_turnplayer,flop,turn,mise en cas de raise/bet,decision
808801046,12.419999999999998,0,5,Ks Th,49.88,3,24.42,0.8202898550724638,0.10317460317460317,0.08098591549295775,0,2,2h Tc 5s,Jd,0.0,folds
808800420,11.01,0,4,8s 2c,1.63,2,0.63,0.10289855072463767,0.08696587324347577,0.17036645525017619,-1,1,4c Qh 7d,4d,0.0,folds
808799468,25.0,1,3,6c 4c,15.0,3,0.0,0.9342995169082126,0.0,0.13074618481415598,0,-1,7c 3h 7h,5h,0.0,checks
808798300,14.0,0,6,9c Ks,3.0,2,1.0,0.8917874396135266,0.08893280632411067,0.08838111132927548,1,1,Kc 7s 3d,6h,2.2,raises
808797103,8.0,0,5,4s 4d,15.0,2,0.0,0.7077294685990339,0.16535403540354035,0.21186283021207988,1,-1,3s 5s 5d,Qs,0.0,checks
808794869,13.0,0,6,2d Ad,4.0,2,0.0,0.39082125603864737,0.1354678937754672,0.17887605268840423,-1,-1,Qd Js Ts,5c,0.0,checks
808793530,15.629999999999999,0,6,3c 7c,9.74,2,0.0,0.6579710144927536,0.29134495641344954,0.09471886495007882,0,-1,5c Jc Qh,7s,15.63,raises
808793071,8.05,0,8,Kc Qd,7.23,2,2.33,0.9594202898550724,0.07954545454545454,0.08563270899954317,0,1,Kh Qh 7s,Tc,8.05,raises
808791890,8.75,0,8,2h 2d,2.75,2,0.0,0.6265700483091787,0.044573643410852716,0.27776999579773076,-1,-1,4h 8s Jc,Jd,0.0,checks
808791346,27.0,1,6,7c 4c,6.5,2,0.0,0.09710144927536232,0.07677413108723014,0.22153679653679653,-1,-1,2d Kh 9s,As,0.0,checks
808790929,14.5,1,6,Ts 9s,1.25,2,0.0,0.8019323671497585,0.09489729020979021,0.11038961038961038,-1,-1,4c Td 6h,Qc,0.0,checks
808790591,13.5,1,6,Ad Tc,3.25,2,0.0,0.4256038647342995,0.09663833662164213,0.19591419816138916,-1,-1,9d 3h 4s,6c,0.0,checks
808790591,13.5,1,6,Ad Tc,4.28,2,1.03,0.4256038647342995,0.09663833662164213,0.19591419816138916,-1,0,9d 3h 4s,6c,0.0,folds
808789874,25.47,0,6,Ah 5h,14.059999999999999,2,5.0,1.0,0.0,0.007575757575757576,1,1,7s Jh 3h,Th,0.0,calls
808789598,9.0,1,7,Ts 2s,2.5,2,0.0,0.8367149758454107,0.023543123543123542,0.08431002853648593,0,-1,Td Ah 8h,Ad,0.0,checks
808789598,9.0,1,7,Ts 2s,3.5,2,1.0,0.8367149758454107,0.023543123543123542,0.08431002853648593,0,0,Td Ah 8h,Ad,0.0,folds
808789118,26.28,0,5,Jd 9d,7.35,2,2.85,0.7922705314009661,0.09148248540450375,0.11637026400088368,-1,1,2h Js Ah,4s,0.0,calls
808789023,13.75,1,6,8s Ts,2.75,2,0.0,0.7971014492753623,0.029356060606060608,0.13014354066985645,-1,-1,As 9d Td,Ad,0.0,checks
808788359,22.52,1,5,Th Td,14.959999999999999,2,0.0,0.8497584541062801,0.15858100233100234,0.08362603305785124,1,-1,2d 9h 6h,2h,22.52,raises
808785640,21.8,1,5,Qs 2s,4.5,2,0.0,0.5671497584541063,0.28981052207216285,0.12214946070878274,-1,-1,9s 2d 3h,As,0.0,checks
808785640,21.8,1,5,Qs 2s,7.5,2,3.0,0.5671497584541063,0.28981052207216285,0.12214946070878274,-1,0,9s 2d 3h,As,0.0,calls
808784144,12.85,1,6,Qh Ac,4.8,2,0.0,0.6111111111111112,0.11679137815501452,0.17280933352361924,-1,-1,8s 9s 8h,2h,0.0,checks
808784144,12.85,1,6,Qh Ac,7.08,2,2.28,0.6111111111111112,0.11679137815501452,0.17280933352361924,-1,0,8s 9s 8h,2h,0.0,folds
808783257,14.5,0,6,7s 4d,1.0,2,0.62,0.05458937198067633,0.07210071210579858,0.2520491803278688,-1,-1,Ts Qh 5h,2s,0.62,bets
808780648,13.85,0,5,Ad 6s,2.55,2,0.0,0.7091787439613526,0.1023474880382775,0.11055260885654372,-1,-1,Kd Qc 6h,3d,0.0,checks
808779423,28.0,1,5,As 9d,6.0,3,0.0,0.855072463768116,0.0748663101604278,0.06516175266175266,-1,-1,Ad 4c 3h,3d,0.0,checks
808778477,12.69,0,5,8d Kd,4.87,2,1.7,0.3521739130434783,0.2096801346801347,0.17920054200542004,0,-1,4h Th Js,Qd,1.7,bets
808776024,10.78,1,5,Js Kh,8.69,2,0.0,0.8908212560386474,0.013126959247648904,0.04818181818181818,1,-1,Qh 2h Qd,Jc,0.0,checks
808776024,10.78,1,5,Js Kh,12.82,2,4.13,0.8908212560386474,0.013126959247648904,0.04818181818181818,1,0,Qh 2h Qd,Jc,10.78,raises
808774738,11.65,1,6,Kc Ks,3.0,2,0.95,0.8217391304347826,0.0597051597051597,0.08954705693836129,1,-1,Jc Ac 7d,9h,0.95,bets
808774620,8.29,0,6,Ac 8c,3.67,2,0.0,0.5879227053140097,0.11181712718835689,0.17703544416431855,0,-1,7d Ks Qs,Kd,0.0,checks
808769468,29.0,1,4,Tc 9s,2.0,2,1.24,0.7835748792270532,0.09281137364837805,0.11469734197006924,-1,-1,7c 9d Ah,5s,1.24,bets
