game_id,stack,flop_position,nb_players_start,cards,pot_size_before_decision,nb_unfolded_players,money_to_add_to_call,hand_strength,hand_pos_potential,hand_neg_potential,last_raise__preflop_player,last_raise_flopplayer,flop,mise en cas de raise/bet,decision
808919518,18.0,1,5,4h 7h,4.5,2,0.0,0.7705827937095282,0.09243027888446215,0.10574162679425837,0,-1,7d 3h Jd,0.0,checks
808919518,18.0,1,5,4h 7h,7.35,2,2.85,0.7705827937095282,0.09243027888446215,0.10574162679425837,0,0,7d 3h Jd,0.0,calls
808918910,4.38,1,5,Td Kh,1.5899999999999999,2,0.0,0.4592969472710453,0.0980192416525184,0.12153470836105566,1,-1,2s Jc 4h,0.0,checks
808916691,27.7,0,6,8d Ac,6.8999999999999995,3,2.18,0.6924144310823311,0.0751730959446093,0.13722886232846393,0,-1,6h 6s Kd,2.18,bets
808915685,4.42,0,6,Ac Jh,1.26,2,0.0,0.5851063829787234,0.1751287711552612,0.1042386185243328,0,-1,4c Kd Ts,0.0,checks
808915260,7.25,3,8,6c Kc,0.75,4,0.0,0.5518038852913969,0.05610088616223585,0.17335921612127936,-1,-1,Ts As 9h,0.0,checks
808915260,7.25,3,8,6c Kc,1.5,4,0.75,0.5518038852913969,0.05610088616223585,0.17335921612127936,-1,0,Ts As 9h,0.0,folds
808914548,6.87,1,8,4s 6s,1.3599999999999999,2,0.0,0.10407030527289547,0.08999657416923604,0.1754985754985755,0,-1,Tc 7s Th,0.0,checks
808914548,6.87,1,8,4s 6s,2.01,2,0.65,0.10407030527289547,0.08999657416923604,0.1754985754985755,0,0,Tc 7s Th,0.0,folds
808914363,27.0,0,6,Ad Js,6.5,2,3.09,0.9574468085106383,0.07482993197278912,0.07405266538214515,0,-1,Th Jc 2c,3.09,bets
808913834,7.0,0,8,6c 6d,2.45,3,0.95,0.7220166512488436,0.0425249169435216,0.10268886043533931,0,1,4d 8h Qd,0.0,folds
808912973,4.75,1,6,9c 6h,0.6,2,0.0,0.7021276595744681,0.09312820512820513,0.09833770778652669,-1,-1,Js Th 6d,0.0,checks
